Flavour,States,Color,Type,Mass,
1,1,1,meson,134.9766,
2,1,1,meson,139.57018,
2,1,1,meson,493.677,
2,1,1,meson,497.614,
2,1,1,meson,497.614,
1,1,1,meson,547.862,
1,1,1,meson,957.78,
2,1,1,meson,1864.84,
2,1,1,meson,1869.61,
2,1,1,meson,1968.3,
1,1,1,meson,2983.6,
2,1,1,meson,5279.26,
2,1,1,meson,5279.58,
2,1,1,meson,5366.77,
2,1,1,meson,6275.6,
1,1,1,meson,9398,
2,3,1,meson,775.11,
1,3,1,meson,775.26,
1,3,1,meson,782.65,
2,3,1,meson,891.66,
2,3,1,meson,895.81,
1,3,1,meson,1019.461,
2,3,1,meson,2006.96,
2,3,1,meson,2010.26,
2,3,1,meson,2112.1,
1,3,1,meson,3096.916,
2,3,1,meson,5325.2,
2,3,1,meson,5325.2,
2,3,1,meson,5415.4,
1,3,1,meson,9460.3,
1,1,1,meson,500,
1,1,1,meson,980,
3,1,1,meson,980,
1,3,1,meson,1170,
3,3,1,meson,1235,
3,3,1,meson,1260,
1,5,1,meson,1270,
1,3,1,meson,1285,
1,1,1,meson,1295,
3,1,1,meson,1300,
3,5,1,meson,1320,
1,1,1,meson,1370,
1,3,1,meson,1380,
3,3,1,meson,1400,
1,1,1,meson,1405,
1,3,1,meson,1420,
1,3,1,meson,1420,
1,5,1,meson,1430,
3,1,1,meson,1450,
3,3,1,meson,1450,
1,1,1,meson,1475,
1,1,1,meson,1500,
1,3,1,meson,1510,
1,3,1,meson,1525,
1,5,1,meson,1565,
3,3,1,meson,1570,
1,3,1,meson,1595,
3,3,1,meson,1600,
3,3,1,meson,1640,
1,5,1,meson,1640,
1,5,1,meson,1645,
1,3,1,meson,1650,
1,7,1,meson,1670,
3,5,1,meson,1670,
1,3,1,meson,1680,
3,7,1,meson,1690,
3,3,1,meson,1700,
3,5,1,meson,1700,
1,1,1,meson,1710,
1,1,1,meson,1760,
3,1,1,meson,1800,
1,5,1,meson,1800,
1,7,1,meson,1850,
1,5,1,meson,1870,
3,5,1,meson,1880,
3,1,1,meson,1900,
1,5,1,meson,1910,
1,5,1,meson,1950,
3,7,1,meson,1990,
1,5,1,meson,2010,
1,1,1,meson,2020,
3,9,1,meson,2040,
1,9,1,meson,2050,
3,5,1,meson,2100,
1,1,1,meson,2100,
1,5,1,meson,2150,
3,3,1,meson,2150,
1,3,1,meson,2170,
1,1,1,meson,2200,
1,9,1,meson,2220,
1,1,1,meson,2225,
3,7,1,meson,2250,
1,5,1,meson,2300,
1,9,1,meson,2300,
1,1,1,meson,2330,
1,5,1,meson,2340,
3,11,1,meson,2350,
3,13,1,meson,2450,
1,13,1,meson,2510,
2,3,1,meson,1270,
2,3,1,meson,1400,
2,3,1,meson,1410,
2,1,1,meson,1430,
2,5,1,meson,1430,
2,5,1,meson,1430,
2,1,1,meson,1460,
2,5,1,meson,1580,
2,3,1,meson,1650,
2,3,1,meson,1680,
2,5,1,meson,1770,
2,7,1,meson,1780,
2,5,1,meson,1820,
2,1,1,meson,1830,
2,1,1,meson,1950,
2,5,1,meson,1980,
2,9,1,meson,2045,
2,5,1,meson,2250,
